Date,value,Model Code,Model check code
1983-12-01,30.02,model://EIA_LCICO_CS/US.OIL.EIA.IUK4990008_M/PRICE/ALL,IUK4990008.M
1984-01-01,30.32,model://EIA_LCICO_CS/US.OIL.EIA.IUK4990008_M/PRICE/ALL,IUK4990008.M
1984-02-01,30.76,model://EIA_LCICO_CS/US.OIL.EIA.IUK4990008_M/PRICE/ALL,IUK4990008.M
1984-03-01,NaN,model://EIA_LCICO_CS/US.OIL.EIA.IUK4990008_M/PRICE/ALL,IUK4990008.M
1984-04-01,30.89,model://EIA_LCICO_CS/US.OIL.EIA.IUK4990008_M/PRICE/ALL,IUK4990008.M
1984-05-01,30.82,model://EIA_LCICO_CS/US.OIL.EIA.IUK4990008_M/PRICE/ALL,IUK4990008.M
1984-06-01,30.67,model://EIA_LCICO_CS/US.OIL.EIA.IUK4990008_M/PRICE/ALL,IUK4990008.M
1984-07-01,29.94,model://EIA_LCICO_CS/US.OIL.EIA.IUK4990008_M/PRICE/ALL,IUK4990008.M
1984-08-01,29.07,model://EIA_LCICO_CS/US.OIL.EIA.IUK4990008_M/PRICE/ALL,IUK4990008.M
1984-09-01,28.88,model://EIA_LCICO_CS/US.OIL.EIA.IUK4990008_M/PRICE/ALL,IUK4990008.M
1984-10-01,29.55,model://EIA_LCICO_CS/US.OIL.EIA.IUK4990008_M/PRICE/ALL,IUK4990008.M
1984-11-01,28.52,model://EIA_LCICO_CS/US.OIL.EIA.IUK4990008_M/PRICE/ALL,IUK4990008.M
1984-12-01,NaN,model://EIA_LCICO_CS/US.OIL.EIA.IUK4990008_M/PRICE/ALL,IUK4990008.M
1985-01-01,NaN,model://EIA_LCICO_CS/US.OIL.EIA.IUK4990008_M/PRICE/ALL,IUK4990008.M
1985-02-01,NaN,model://EIA_LCICO_CS/US.OIL.EIA.IUK4990008_M/PRICE/ALL,IUK4990008.M
1985-03-01,NaN,model://EIA_LCICO_CS/US.OIL.EIA.IUK4990008_M/PRICE/ALL,IUK4990008.M
